odds_id,game_id,vendor,spread_home_value,spread_home_odds,spread_away_value,spread_away_odds,moneyline_home_odds,moneyline_away_odds,total_value,total_over_odds,total_under_odds,updated_at
18783393,18447035,bet365,9.5,-120,-9.5,-110,1800.0,-15000.0,239.5,-105.0,-125.0,2025-11-20T02:20:52.317Z
18784779,18447035,betmgm,8.5,-105,-8.5,-125,725.0,-1600.0,237.5,-118.0,-110.0,2025-11-20T02:22:32.614Z
19571859,18447043,fanduel,6.5,182,-6.5,-250,800.0,-1800.0,236.5,-125.0,-106.0,2025-11-21T03:40:44.714Z
19585039,18447043,draftkings,8.5,220,-8.5,-298,1800.0,-6500.0,238.5,-120.0,-110.0,2025-11-21T03:38:17.185Z
19585570,18447043,caesars,3.5,-130,-3.5,100,175.0,-220.0,217.5,-120.0,-110.0,2025-11-21T03:38:02.481Z
19601780,18447043,betmgm,1.5,-110,-1.5,-118,525.0,-900.0,218.5,-105.0,-125.0,2025-11-21T03:39:22.928Z
19631886,18447043,bet365,7.5,115,-7.5,-145,600.0,-1000.0,231.5,100.0,-130.0,2025-11-21T03:39:46.136Z
19651791,18447043,espnbet,4.5,-120,-4.5,-110,450.0,-750.0,231.5,-120.0,-110.0,2025-11-21T03:43:43.279Z
21955945,18447061,fanduel,11.5,-114,-11.5,-114,3500.0,-50000.0,242.5,-140.0,106.0,2025-11-23T20:22:43.994Z
21992262,18447061,draftkings,11.5,100,-11.5,-130,3000.0,-20000.0,244.5,100.0,-130.0,2025-11-23T20:18:00.202Z
22022805,18447061,caesars,11.5,145,-11.5,-180,1800.0,-6000.0,242.5,-130.0,100.0,2025-11-23T20:19:57.910Z
22025630,18447061,betmgm,10.5,-115,-10.5,-110,3300.0,-10000.0,242.5,-125.0,-102.0,2025-11-23T20:21:30.644Z
22027641,18447061,espnbet,5.5,-110,-5.5,-120,340.0,-500.0,247.5,-160.0,125.0,2025-11-23T20:20:58.977Z
22116534,18447061,bet365,12.5,100,-12.5,-130,2200.0,-25000.0,240.5,-120.0,-110.0,2025-11-23T20:20:44.461Z
22442351,18447061,betrivers,10.5,-120,-10.5,-122,900.0,-5000.0,244,-117.0,-125.0,2025-11-23T20:23:05.227Z
22495214,18447061,ballybet,10.5,-113,-10.5,-118,,,,,,2025-11-23T20:23:15.222Z
27450944,18447113,fanduel,4.5,-114,-4.5,-114,1300.0,-4500.0,277.5,-125.0,-106.0,2025-12-01T02:14:42.204Z
27461260,18447113,draftkings,6.5,-140,-6.5,110,4000.0,-100000.0,278.5,-125.0,-105.0,2025-12-01T02:11:00.394Z
27463752,18447113,caesars,6.5,-115,-6.5,-115,260.0,-350.0,277.5,100.0,-130.0,2025-12-01T02:11:53.955Z
27464995,18447113,rebet,0.5,-133,-0.5,100,280.0,-222.0,272.5,-105.0,-133.0,2025-12-01T02:11:45.710Z
27468281,18447113,betparx,3.5,-120,-3.5,-112,800.0,-2500.0,231,-110.0,-121.0,2025-12-01T02:14:35.231Z
27468470,18447113,betrivers,3.5,-125,-3.5,-117,650.0,-2500.0,231,-117.0,-125.0,2025-12-01T02:14:05.831Z
27468521,18447113,ballybet,3.5,-118,-3.5,-118,650.0,-2500.0,231,-113.0,-122.0,2025-12-01T02:14:15.238Z
27482000,18447113,betmgm,5.5,-115,-5.5,-110,950.0,-2500.0,230.5,-115.0,-115.0,2025-12-01T02:10:22.493Z
27482508,18447113,espnbet,2.5,-135,-2.5,105,160.0,-200.0,276.5,-125.0,-105.0,2025-12-01T02:18:28.671Z
27505644,18447113,betway,2.5,-110,-2.5,-115,275.0,-450.0,273.5,-120.0,-105.0,2025-12-01T02:12:26.879Z
27941381,18447113,bet365,7.5,-155,-7.5,125,4000.0,-100000.0,275.5,-125.0,-105.0,2025-12-01T02:14:05.201Z
28484233,18447127,fanduel,-18.5,-192,18.5,142,-100000.0,-100000.0,223.5,136.0,-182.0,2025-12-03T02:17:24.123Z
28490336,18447127,rebet,-24.5,-118,24.5,-118,-10000.0,2100.0,226.5,-111.0,-125.0,2025-12-03T02:16:45.781Z
28490819,18447127,draftkings,-25.5,100,25.5,-130,-50000.0,3500.0,225.5,-130.0,100.0,2025-12-03T02:12:00.294Z
28500586,18447127,betrivers,-26,-134,26,-112,-10000.0,950.0,225.5,-127.0,-114.0,2025-12-03T02:19:06.242Z
28500650,18447127,ballybet,-27,-127,27,-113,-10000.0,1150.0,225.5,-125.0,-113.0,2025-12-03T02:19:15.181Z
28500886,18447127,betparx,-27,-106,27,-125,-10000.0,1600.0,225,-106.0,-127.0,2025-12-03T02:19:35.176Z
28526443,18447127,caesars,-19.5,165,19.5,-210,-10000.0,2200.0,224.5,-190.0,150.0,2025-12-03T02:16:30.717Z
28533556,18447127,betmgm,-26.5,-130,26.5,100,-10000.0,1500.0,223.5,-110.0,-118.0,2025-12-03T02:17:24.081Z
28589505,18447127,betway,-27.5,105,27.5,-130,-10000.0,1200.0,225.5,-120.0,-105.0,2025-12-03T02:16:27.238Z
29114142,18447127,bet365,-21.5,-115,21.5,-115,-25000.0,2200.0,223.5,-125.0,-105.0,2025-12-03T02:16:55.012Z
