game_id,date,season,status,period,time,postseason,home_team_id,home_team_name,home_team_abbr,home_team_city,home_team_conference,home_team_division,home_score,visitor_team_id,visitor_team_name,visitor_team_abbr,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_score
18447352,2026-01-09,2025,Final,4,Final,False,24,Phoenix Suns,PHX,Phoenix,West,Pacific,112,20,New York Knicks,NYK,New York,East,Atlantic,107
18447353,2026-01-09,2025,Final,4,Final,False,10,Golden State Warriors,GSW,Golden State,West,Pacific,137,26,Sacramento Kings,SAC,Sacramento,West,Pacific,103
18447354,2026-01-09,2025,Final,4,Final,False,25,Portland Trail Blazers,POR,Portland,West,Northwest,111,11,Houston Rockets,HOU,Houston,West,Southwest,105
18447355,2026-01-09,2025,Final,4,Final,False,14,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,101,17,Milwaukee Bucks,MIL,Milwaukee,East,Central,105
18447356,2026-01-10,2025,Final,4,Final,False,6,Cleveland Cavaliers,CLE,Cleveland,East,Central,146,18,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,134
18447357,2026-01-10,2025,Final,4,Final,False,12,Indiana Pacers,IND,Indiana,East,Central,123,16,Miami Heat,MIA,Miami,East,Southeast,99
18447358,2026-01-10,2025,Final,4,Final,False,9,Detroit Pistons,DET,Detroit,East,Central,92,13,LA Clippers,LAC,LA,West,Pacific,98
18447359,2026-01-10,2025,Final,4,Final,False,2,Boston Celtics,BOS,Boston,East,Atlantic,95,27,San Antonio Spurs,SAS,San Antonio,West,Southwest,100
18447360,2026-01-10,2025,Final,4,Final,False,5,Chicago Bulls,CHI,Chicago,East,Central,125,7,Dallas Mavericks,DAL,Dallas,West,Southwest,107
18447361,2026-01-10,2025,Final,4,Final,False,29,Utah Jazz,UTA,Utah,West,Northwest,95,4,Charlotte Hornets,CHA,Charlotte,East,Southeast,150
18447362,2026-01-11,2025,Final,4,Final,False,22,Orlando Magic,ORL,Orlando,East,Southeast,128,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,118
18447363,2026-01-11,2025,Final,4,Final,False,15,Memphis Grizzlies,MEM,Memphis,West,Southwest,103,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,98
18447364,2026-01-11,2025,Final,5,Final,False,28,Toronto Raptors,TOR,Toronto,East,Atlantic,116,23,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,115
18447365,2026-01-11,2025,Final,4,Final,False,25,Portland Trail Blazers,POR,Portland,West,Northwest,114,20,New York Knicks,NYK,New York,East,Atlantic,123
18447366,2026-01-11,2025,Final,4,Final,False,18,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,104,27,San Antonio Spurs,SAS,San Antonio,West,Southwest,103
18447367,2026-01-11,2025,Final,4,Final,False,21,Oklahoma City Thunder,OKC,Oklahoma City,West,Northwest,124,16,Miami Heat,MIA,Miami,East,Southeast,112
18447368,2026-01-11,2025,Final,4,Final,False,8,Denver Nuggets,DEN,Denver,West,Northwest,108,17,Milwaukee Bucks,MIL,Milwaukee,East,Central,104
18447369,2026-01-11,2025,Final,4,Final,False,24,Phoenix Suns,PHX,Phoenix,West,Pacific,112,30,Washington Wizards,WAS,Washington,East,Southeast,93
18447370,2026-01-11,2025,Final,4,Final,False,10,Golden State Warriors,GSW,Golden State,West,Pacific,111,1,Atlanta Hawks,ATL,Atlanta,East,Southeast,124
18447371,2026-01-11,2025,Final,4,Final,False,26,Sacramento Kings,SAC,Sacramento,West,Pacific,111,11,Houston Rockets,HOU,Houston,West,Southwest,98
18447372,2026-01-12,2025,Final,4,Final,False,6,Cleveland Cavaliers,CLE,Cleveland,East,Central,112,29,Utah Jazz,UTA,Utah,West,Northwest,123
18447373,2026-01-12,2025,Final,4,Final,False,12,Indiana Pacers,IND,Indiana,East,Central,98,2,Boston Celtics,BOS,Boston,East,Atlantic,96
18447374,2026-01-12,2025,Final,4,Final,False,28,Toronto Raptors,TOR,Toronto,East,Atlantic,102,23,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,115
18447375,2026-01-12,2025,Final,4,Final,False,7,Dallas Mavericks,DAL,Dallas,West,Southwest,113,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,105
18447376,2026-01-12,2025,Final,4,Final,False,26,Sacramento Kings,SAC,Sacramento,West,Pacific,124,14,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,112
18447377,2026-01-12,2025,Final,4,Final,False,13,LA Clippers,LAC,LA,West,Pacific,117,4,Charlotte Hornets,CHA,Charlotte,East,Southeast,109
18447378,2026-01-13,2025,Final,4,Final,False,16,Miami Heat,MIA,Miami,East,Southeast,127,24,Phoenix Suns,PHX,Phoenix,West,Pacific,121
18447379,2026-01-13,2025,Final,4,Final,False,11,Houston Rockets,HOU,Houston,West,Southwest,119,5,Chicago Bulls,CHI,Chicago,East,Central,113
18447380,2026-01-13,2025,Final,4,Final,False,17,Milwaukee Bucks,MIL,Milwaukee,East,Central,106,18,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,139
18447381,2026-01-13,2025,Final,4,Final,False,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,116,8,Denver Nuggets,DEN,Denver,West,Northwest,122
18447382,2026-01-13,2025,Final,4,Final,False,21,Oklahoma City Thunder,OKC,Oklahoma City,West,Northwest,119,27,San Antonio Spurs,SAS,San Antonio,West,Southwest,98
18447383,2026-01-13,2025,Final,4,Final,False,14,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,141,1,Atlanta Hawks,ATL,Atlanta,East,Southeast,116
18447384,2026-01-13,2025,Final,4,Final,False,10,Golden State Warriors,GSW,Golden State,West,Pacific,119,25,Portland Trail Blazers,POR,Portland,West,Northwest,97
18447385,2026-01-14,2025,Final,4,Final,False,12,Indiana Pacers,IND,Indiana,East,Central,101,28,Toronto Raptors,TOR,Toronto,East,Atlantic,115
18447386,2026-01-14,2025,Final,4,Final,False,23,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,107,6,Cleveland Cavaliers,CLE,Cleveland,East,Central,133
