stat_id,game_id,game_date,player_id,player_name,team_id,team_abbr,period,pie,pace,pace_per_40,possessions,offensive_rating,defensive_rating,net_rating,usage_percentage,true_shooting_percentage,effective_field_goal_percentage,assist_percentage,assist_ratio,assist_to_turnover,turnover_ratio,offensive_rebound_percentage,defensive_rebound_percentage,rebound_percentage,blocks_against,fouls_drawn,points_fast_break,points_off_turnovers,points_paint,points_second_chance,pct_assisted_fgm,pct_unassisted_fgm,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_3pt,pct_pts_paint,pct_pts_fast_break,box_outs,charges_drawn,contested_shots,deflections,loose_balls_recovered_total,screen_assists,screen_assist_points,matchup_minutes,matchup_fg_pct,matchup_player_points,defended_at_rim_fg_pct,speed,distance,touches,passes,contested_fg_pct,uncontested_fg_pct,pct_fga,pct_points,pct_rebounds_total
61492,18447403,2026-01-16,17896058,Trendon Watford,23,PHI,0,0.094,103.53,86.27,21.0,133.3,100.0,33.3,0.125,1.0,1.0,0.25,40.0,2.0,20.0,0.2,0.0,0.095,0.0,1.0,2.0,0.0,4.0,2.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:49,0.0,2.0,0.5,4.34,0.8,18.0,15.0,1.0,1.0,0.1,0.143,0.182
61494,18447403,2026-01-16,137,Andre Drummond,23,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61496,18447403,2026-01-16,1028214238,Justin Edwards,23,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61498,18447403,2026-01-16,178,Eric Gordon,23,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61500,18447403,2026-01-16,286,Kyle Lowry,23,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61502,18447403,2026-01-16,1028027372,Jared McCain,23,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63586,18447427,2026-01-19,360,Kelly Oubre Jr.,23,PHI,0,0.115,100.47,83.72,74.0,123.0,106.8,16.1,0.179,0.605,0.643,0.185,25.0,0.0,0.0,0.0,0.029,0.014,3.0,2.0,5.0,7.0,12.0,0.0,0.625,0.375,0.786,0.214,0.667,0.333,0.667,0.278,0.0,0.0,2.0,6.0,0.0,0.0,0.0,14:04,0.429,13.0,1.0,4.15,2.56,42.0,27.0,0.556,0.6,0.215,0.198,0.034
63587,18447427,2026-01-19,38017730,Dominick Barlow,23,PHI,0,0.103,94.97,79.14,47.0,119.1,125.0,-5.9,0.151,0.671,0.667,0.0,0.0,0.0,0.0,0.2,0.095,0.152,0.0,3.0,4.0,0.0,8.0,6.0,0.25,0.75,0.833,0.167,0.727,0.0,0.727,0.364,0.0,0.0,7.0,2.0,2.0,1.0,3.0,9:56,0.563,21.0,0.75,4.54,1.88,22.0,14.0,0.667,0.667,0.14,0.196,0.368
63588,18447427,2026-01-19,145,Joel Embiid,23,PHI,0,0.206,98.02,81.68,68.0,123.5,119.1,4.4,0.299,0.701,0.618,0.182,14.8,4.0,3.7,0.065,0.233,0.148,1.0,6.0,0.0,6.0,8.0,2.0,0.6,0.4,0.941,0.059,0.6,0.1,0.267,0.0,1.0,0.0,5.0,1.0,0.0,5.0,11.0,13:25,0.7,16.0,0.8,3.62,2.12,70.0,46.0,0.5,0.615,0.298,0.357,0.333
63589,18447427,2026-01-19,1057261935,VJ Edgecombe,23,PHI,0,0.028,97.91,81.59,73.0,119.2,118.3,0.9,0.2,0.424,0.333,0.133,20.0,1.33,15.0,0.029,0.121,0.075,1.0,5.0,0.0,0.0,6.0,2.0,0.333,0.667,0.667,0.333,0.545,0.0,0.545,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,14:32,0.385,15.0,0.0,4.13,2.56,67.0,51.0,0.667,0.167,0.148,0.126,0.2
